task_id,text,completion,raw_completion,code,test_list,test_setup_code
2,Write a function to find the shared elements from the given two lists.,"def find_shared_elements(list1, list2):
    """"""
    Find the shared elements between two lists.

    Args:
    list1 (list): The first list.
    list2 (list): The second list.

    Returns:
    list: A list containing the shared elements between list1 and list2.
    """"""
    # Using set intersection to find shared elements
    shared_elements = list(set(list1) & set(list2))
    return shared_elements","```python
def find_shared_elements(list1, list2):
    """"""
    Find the shared elements between two lists.

    Args:
    list1 (list): The first list.
    list2 (list): The second list.

    Returns:
    list: A list containing the shared elements between list1 and list2.
    """"""
    # Using set intersection to find shared elements
    shared_elements = list(set(list1) & set(list2))
    return shared_elements
```

This function takes two lists as input and returns a list of elements that are common to both lists. It uses set operations to efficiently find the intersection of the two lists.","def similar_elements(test_tup1, test_tup2):
  res = tuple(set(test_tup1) & set(test_tup2))
  return (res) ","['assert set(similar_elements((3, 4, 5, 6),(5, 7, 4, 10))) == set((4, 5))', 'assert set(similar_elements((1, 2, 3, 4),(5, 4, 3, 7))) == set((3, 4))', 'assert set(similar_elements((11, 12, 14, 13),(17, 15, 14, 13))) == set((13, 14))']",
3,Write a python function to identify non-prime numbers.,"def is_prime(n):
    """"""Check if a number is prime.""""""
    if n <= 1:
        return False
    if n <= 3:
        return True
    if n % 2 == 0 or n % 3 == 0:
        return False
    i = 5
    while i * i <= n:
        if n % i == 0 or n % (i + 2) == 0:
            return False
        i += 6
    return True

def find_non_primes(numbers):
    """"""Find all non-prime numbers in a list.""""""
    non_primes = [num for num in numbers if not is_prime(num)]
    return non_primes

# Example usage:
numbers = [2, 3, 4, 5, 6, 7, 8, 9, 10]
non_primes = find_non_primes(numbers)
print(non_primes)  # Output: [4, 6, 8, 9, 10]","```python
def is_prime(n):
    """"""Check if a number is prime.""""""
    if n <= 1:
        return False
    if n <= 3:
        return True
    if n % 2 == 0 or n % 3 == 0:
        return False
    i = 5
    while i * i <= n:
        if n % i == 0 or n % (i + 2) == 0:
            return False
        i += 6
    return True

def find_non_primes(numbers):
    """"""Find all non-prime numbers in a list.""""""
    non_primes = [num for num in numbers if not is_prime(num)]
    return non_primes

# Example usage:
numbers = [2, 3, 4, 5, 6, 7, 8, 9, 10]
non_primes = find_non_primes(numbers)
print(non_primes)  # Output: [4, 6, 8, 9, 10]
```

This solution defines two functions:
- `is_prime(n)`: Determines if a number `n` is prime. It uses a more efficient method by checking divisibility up to the square root of `n` and skipping even numbers after checking for divisibility by 2 and 3.
- `find_non_primes(numbers)`: Takes a list of numbers and returns a list of non-prime numbers using a list comprehension.","import math
def is_not_prime(n):
    result = False
    for i in range(2,int(math.sqrt(n)) + 1):
        if n % i == 0:
            result = True
    return result","['assert is_not_prime(2) == False', 'assert is_not_prime(10) == True', 'assert is_not_prime(35) == True', 'assert is_not_prime(37) == False']",
4,"Write a function to find the n largest integers from a given list of numbers, returned in descending order.","def find_n_largest_numbers(numbers, n):
    """"""
    Finds the n largest integers in a given list of numbers and returns them in descending order.

    Parameters:
    numbers (list): A list of integers.
    n (int): The number of largest integers to find.

    Returns:
    list: A list of the n largest integers from the input list, sorted in descending order.
    """"""
    # Sort the list in descending order and take the first n elements
    return sorted(numbers, reverse=True)[:n]","<code>
def find_n_largest_numbers(numbers, n):
    """"""
    Finds the n largest integers in a given list of numbers and returns them in descending order.

    Parameters:
    numbers (list): A list of integers.
    n (int): The number of largest integers to find.

    Returns:
    list: A list of the n largest integers from the input list, sorted in descending order.
    """"""
    # Sort the list in descending order and take the first n elements
    return sorted(numbers, reverse=True)[:n]
</code>","import heapq as hq
def heap_queue_largest(nums,n):
  largest_nums = hq.nlargest(n, nums)
  return largest_nums","['assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]', 'assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],2)==[85, 75]', 'assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],5)==[85, 75, 65, 58, 35]']",
6,Write a python function to check whether the two numbers differ at one bit position only or not.,"def differ_at_one_bit(x, y):
    # XOR the two numbers
    xor_result = x ^ y
    
    # Check if the XOR result has exactly one bit set to 1
    return xor_result != 0 and (xor_result & (xor_result - 1)) == 0

# Example usage:
print(differ_at_one_bit(10, 12))  # Output: True, because 10 (1010) and 12 (1100) differ at the third bit
print(differ_at_one_bit(10, 10))  # Output: False, because 10 (1010) and 10 (1010) are identical","To determine if two numbers differ at exactly one bit position, you can use the XOR operation. The XOR operation will produce a number with exactly one bit set to 1 if the numbers differ at that bit position. If the result of the XOR operation is zero, it means the numbers are identical.

Here's a Python function to achieve this:

```python
def differ_at_one_bit(x, y):
    # XOR the two numbers
    xor_result = x ^ y
    
    # Check if the XOR result has exactly one bit set to 1
    return xor_result != 0 and (xor_result & (xor_result - 1)) == 0

# Example usage:
print(differ_at_one_bit(10, 12))  # Output: True, because 10 (1010) and 12 (1100) differ at the third bit
print(differ_at_one_bit(10, 10))  # Output: False, because 10 (1010) and 10 (1010) are identical
```

### Explanation:
- **XOR Operation**: `x ^ y` will give a number where each bit is set to 1 if the corresponding bits of `x` and `y` are different.
- **Single Bit Check**: `(xor_result & (xor_result - 1)) == 0` is a common trick to check if a number has exactly one bit set to 1. This works because subtracting 1 from a number flips all the bits after the rightmost set bit, and the bitwise AND of the number and its predecessor will be zero if and only if the number has exactly one bit set to 1.","def is_Power_Of_Two (x): 
    return x and (not(x & (x - 1))) 
def differ_At_One_Bit_Pos(a,b): 
    return is_Power_Of_Two(a ^ b)","['assert differ_At_One_Bit_Pos(13,9) == True', 'assert differ_At_One_Bit_Pos(15,8) == False', 'assert differ_At_One_Bit_Pos(2,4) == False', 'assert differ_At_One_Bit_Pos(2, 3) == True', 'assert differ_At_One_Bit_Pos(5, 1) == True', 'assert differ_At_One_Bit_Pos(1, 5) == True']",
7,Write a function to find all words which are at least 4 characters long in a string.,"import re

def find_long_words(input_string):
    # Use regular expression to find all words with at least 4 characters
    words = re.findall(r'\b\w{4,}\b', input_string)
    return words

# Example usage:
input_string = ""This is an example sentence with several words of different lengths.""
long_words = find_long_words(input_string)
print(long_words)","```python
import re

def find_long_words(input_string):
    # Use regular expression to find all words with at least 4 characters
    words = re.findall(r'\b\w{4,}\b', input_string)
    return words

# Example usage:
input_string = ""This is an example sentence with several words of different lengths.""
long_words = find_long_words(input_string)
print(long_words)
```

This function uses the `re` module to find all words in the input string that are at least 4 characters long. The regular expression `\b\w{4,}\b` matches word boundaries (`\b`) followed by 4 or more word characters (`\w`). The `findall` method returns a list of all matches found in the string.","import re
def find_char_long(text):
  return (re.findall(r""\b\w{4,}\b"", text))","[""assert set(find_char_long('Please move back to stream')) == set(['Please', 'move', 'back', 'stream'])"", ""assert set(find_char_long('Jing Eco and Tech')) == set(['Jing', 'Tech'])"", ""assert set(find_char_long('Jhingai wulu road Zone 3')) == set(['Jhingai', 'wulu', 'road', 'Zone'])""]",
8,Write a function to find squares of individual elements in a list.,"def square_elements(numbers):
    """"""
    This function takes a list of numbers and returns a new list containing the squares of each number.

    :param numbers: List of integers or floats.
    :return: A new list containing the squares of the input numbers.
    """"""
    return [num ** 2 for num in numbers]

# Example usage:
numbers = [1, 2, 3, 4, 5]
squared_numbers = square_elements(numbers)
print(squared_numbers)  # Output: [1, 4, 9, 16, 25]","<code>
def square_elements(numbers):
    """"""
    This function takes a list of numbers and returns a new list containing the squares of each number.

    :param numbers: List of integers or floats.
    :return: A new list containing the squares of the input numbers.
    """"""
    return [num ** 2 for num in numbers]

# Example usage:
numbers = [1, 2, 3, 4, 5]
squared_numbers = square_elements(numbers)
print(squared_numbers)  # Output: [1, 4, 9, 16, 25]
</code>","def square_nums(nums):
 square_nums = list(map(lambda x: x ** 2, nums))
 return square_nums","['assert square_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[1, 4, 9, 16, 25, 36, 49, 64, 81, 100]', 'assert square_nums([10,20,30])==([100,400,900])', 'assert square_nums([12,15])==([144,225])']",
9,Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,"def min_rotations(s):
    n = len(s)
    # Create a double-length string to handle rotations
    doubled_s = s * 2
    # Iterate through the string to find the smallest rotation
    for i in range(1, n):
        # Check if the substring starting at i matches the original string
        if doubled_s[i:i+n] == s:
            return i
    return n  # If no rotation matches, return the length of the string (0 rotations)

# Example usage:
print(min_rotations(""abc""))  # Output: 1
print(min_rotations(""bca""))  # Output: 2
print(min_rotations(""cab""))  # Output: 3
print(min_rotations(""abcabc""))  # Output: 1","```python
def min_rotations(s):
    n = len(s)
    # Create a double-length string to handle rotations
    doubled_s = s * 2
    # Iterate through the string to find the smallest rotation
    for i in range(1, n):
        # Check if the substring starting at i matches the original string
        if doubled_s[i:i+n] == s:
            return i
    return n  # If no rotation matches, return the length of the string (0 rotations)

# Example usage:
print(min_rotations(""abc""))  # Output: 1
print(min_rotations(""bca""))  # Output: 2
print(min_rotations(""cab""))  # Output: 3
print(min_rotations(""abcabc""))  # Output: 1
```

This function works by doubling the string and checking each possible rotation to see if it matches the original string. The smallest rotation that matches is returned. If no rotation matches, the function returns the length of the string, indicating that no rotations are needed.","def find_Rotations(str): 
    tmp = str + str
    n = len(str) 
    for i in range(1,n + 1): 
        substring = tmp[i: i+n] 
        if (str == substring): 
            return i 
    return n ","['assert find_Rotations(""aaaa"") == 1', 'assert find_Rotations(""ab"") == 2', 'assert find_Rotations(""abc"") == 3']",
11,Write a python function to remove first and last occurrence of a given character from the string.,"def remove_first_last_occurrence(s, char):
    """"""
    Remove the first and last occurrence of a given character from the string.
    
    :param s: The input string from which to remove characters.
    :param char: The character to remove from the string.
    :return: A new string with the first and last occurrence of the character removed.
    """"""
    # Find the first occurrence of the character
    first_index = s.find(char)
    
    # Find the last occurrence of the character
    last_index = s.rfind(char)
    
    # If the character is not found in the string, return the original string
    if first_index == -1 or last_index == -1:
        return s
    
    # If the first and last occurrences are the same, return the string without the character
    if first_index == last_index:
        return s[:first_index] + s[first_index+1:]
    
    # Otherwise, return the string with the first and last occurrences removed
    return s[:first_index] + s[first_index+1:last_index] + s[last_index+1:]

# Example usage:
# result = remove_first_last_occurrence(""banana"", ""a"")
# print(result)  # Output: ""banan""","```python
def remove_first_last_occurrence(s, char):
    """"""
    Remove the first and last occurrence of a given character from the string.
    
    :param s: The input string from which to remove characters.
    :param char: The character to remove from the string.
    :return: A new string with the first and last occurrence of the character removed.
    """"""
    # Find the first occurrence of the character
    first_index = s.find(char)
    
    # Find the last occurrence of the character
    last_index = s.rfind(char)
    
    # If the character is not found in the string, return the original string
    if first_index == -1 or last_index == -1:
        return s
    
    # If the first and last occurrences are the same, return the string without the character
    if first_index == last_index:
        return s[:first_index] + s[first_index+1:]
    
    # Otherwise, return the string with the first and last occurrences removed
    return s[:first_index] + s[first_index+1:last_index] + s[last_index+1:]

# Example usage:
# result = remove_first_last_occurrence(""banana"", ""a"")
# print(result)  # Output: ""banan""
```

This function first finds the first and last occurrences of the specified character in the string. If the character is not found, it returns the original string. If the first and last occurrences are the same, it removes only the first occurrence. Otherwise, it removes both the first and last occurrences.","def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ","['assert remove_Occ(""hello"",""l"") == ""heo""', 'assert remove_Occ(""abcda"",""a"") == ""bcd""', 'assert remove_Occ(""PHP"",""P"") == ""H""']",
12,Write a function to sort a given matrix in ascending order according to the sum of its rows.,"def sort_matrix_by_row_sums(matrix):
    """"""
    Sorts a given matrix in ascending order based on the sum of its rows.

    Parameters:
    matrix (list of lists of int): The matrix to be sorted.

    Returns:
    list of lists of int: The sorted matrix.
    """"""
    # Calculate the sum of each row and pair it with the row
    row_sums = [(sum(row), row) for row in matrix]
    
    # Sort the list of tuples by the row sum
    row_sums.sort()
    
    # Extract the sorted rows
    sorted_matrix = [row for _, row in row_sums]
    
    return sorted_matrix

# Example usage:
matrix = [
    [3, 1, 2],
    [1, 4, 3],
    [2, 2, 1]
]

sorted_matrix = sort_matrix_by_row_sums(matrix)
print(sorted_matrix)","```python
def sort_matrix_by_row_sums(matrix):
    """"""
    Sorts a given matrix in ascending order based on the sum of its rows.

    Parameters:
    matrix (list of lists of int): The matrix to be sorted.

    Returns:
    list of lists of int: The sorted matrix.
    """"""
    # Calculate the sum of each row and pair it with the row
    row_sums = [(sum(row), row) for row in matrix]
    
    # Sort the list of tuples by the row sum
    row_sums.sort()
    
    # Extract the sorted rows
    sorted_matrix = [row for _, row in row_sums]
    
    return sorted_matrix

# Example usage:
matrix = [
    [3, 1, 2],
    [1, 4, 3],
    [2, 2, 1]
]

sorted_matrix = sort_matrix_by_row_sums(matrix)
print(sorted_matrix)
```

This function first calculates the sum of each row and pairs it with the row itself. It then sorts the list of these pairs based on the row sum. Finally, it extracts and returns the sorted rows. The example usage demonstrates sorting a matrix where the rows are sorted by their sum in ascending order.","def sort_matrix(M):
    result = sorted(M, key=sum)
    return result","['assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]', 'assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]', 'assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]']",
14,Write a python function to find the volume of a triangular prism.,"def triangular_prism_volume(base_area, height):
    """"""
    Calculate the volume of a triangular prism.

    Parameters:
    base_area (float): The area of the triangular base of the prism.
    height (float): The height of the prism.

    Returns:
    float: The volume of the triangular prism.
    """"""
    return base_area * height","```python
def triangular_prism_volume(base_area, height):
    """"""
    Calculate the volume of a triangular prism.

    Parameters:
    base_area (float): The area of the triangular base of the prism.
    height (float): The height of the prism.

    Returns:
    float: The volume of the triangular prism.
    """"""
    return base_area * height
```

This function takes the base area of the triangular base and the height of the prism as inputs and returns the volume of the triangular prism using the formula \( \text{Volume} = \text{Base Area} \times \text{Height} \).","def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ","['assert find_Volume(10,8,6) == 240', 'assert find_Volume(3,2,2) == 6', 'assert find_Volume(1,2,1) == 1']",
16,Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,"import re

def has_underscored_lowercase_sequence(input_string):
    # Use a regular expression to find sequences of lowercase letters separated by an underscore
    pattern = r'_[a-z]+_'
    return bool(re.search(pattern, input_string))

# Example usage:
print(has_underscored_lowercase_sequence(""hello_world""))  # Output: True
print(has_underscored_lowercase_sequence(""hello_world123""))  # Output: False
print(has_underscored_lowercase_sequence(""hello_world_""))  # Output: False
print(has_underscored_lowercase_sequence(""hello__world""))  # Output: False
print(has_underscored_lowercase_sequence(""hello_world_a""))  # Output: True","<code>
import re

def has_underscored_lowercase_sequence(input_string):
    # Use a regular expression to find sequences of lowercase letters separated by an underscore
    pattern = r'_[a-z]+_'
    return bool(re.search(pattern, input_string))

# Example usage:
print(has_underscored_lowercase_sequence(""hello_world""))  # Output: True
print(has_underscored_lowercase_sequence(""hello_world123""))  # Output: False
print(has_underscored_lowercase_sequence(""hello_world_""))  # Output: False
print(has_underscored_lowercase_sequence(""hello__world""))  # Output: False
print(has_underscored_lowercase_sequence(""hello_world_a""))  # Output: True
</code>","import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return True
        else:
                return False","['assert text_lowercase_underscore(""aab_cbbbc"")==(True)', 'assert text_lowercase_underscore(""aab_Abbbc"")==(False)', 'assert text_lowercase_underscore(""Aaab_abbbc"")==(False)']",
